#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 8 2.8284271247461903 8 0 0
2 8 2.8284271247461903 8 0 0
3 11 3.3166247903554 11 0 0
4 16 4.0 16 0 0
5 26 5.0990195135927845 26 0 0
6 39 6.244997998398398 39 0 0
7 57 7.54983443527075 57 0 0
8 71 8.426149773176359 71 0 0
9 89 9.433981132056603 89 0 0
10 114 10.677078252031311 114 0 0
11 134 11.575836902790225 134 0 0
12 155 12.449899597988733 155 0 0
13 172 13.114877048604 172 0 0
14 206 14.352700094407323 206 0 0
15 240 15.491933384829668 240 0 0
16 273 16.522711641858304 273 0 0
17 306 17.4928556845359 306 0 0
18 347 18.627936010197157 347 0 0
19 387 19.672315572906 387 0 0
20 429 20.71231517720798 429 0 0
21 477 21.840329667841555 477 0 0
22 534 23.108440016582687 534 0 0
23 587 24.228082879171435 587 0 0
24 638 25.25866188063018 638 0 0
25 692 26.30589287593181 692 0 0
26 770 27.748873851023216 770 0 0
27 850 29.154759474226502 850 0 0
28 921 30.347981810987037 921 0 0
29 988 31.432467291003423 988 0 0
30 1041 32.264531609803356 1041 0 0
31 1139 33.74907406137241 1139 0 0
32 1224 34.9857113690718 1224 0 0
33 1309 36.180105030251084 1309 0 0
34 1395 37.3496987939662 1395 0 0
35 1489 38.58756276314948 1489 0 0
36 1587 39.83716857408418 1587 0 0
37 1701 41.24318125460256 1701 0 0
38 1787 42.2729227756965 1787 0 0
39 1899 43.57751713900185 1899 0 0
40 2018 44.9221548904324 2018 0 0
41 2113 45.967379738244816 2113 0 0
42 2225 47.16990566028302 2225 0 0
43 2342 48.394214530251446 2342 0 0
44 2449 49.48737212663449 2449 0 0
45 2578 50.774009099144415 2578 0 0
46 2715 52.10566188045211 2715 0 0
47 2875 53.61902647381804 2875 0 0
48 2989 54.67174773134658 2989 0 0
49 3117 55.83009940883144 3117 0 0
50 3219 56.73623181001713 3219 0 0
51 3345 57.83597496368502 3345 0 0
52 3492 59.09314681077663 3492 0 0
53 3666 60.54750201288241 3666 0 0
54 3833 61.91122676865643 3833 0 0
55 4001 63.25345840347388 4001 0 0
56 4162 64.51356446515724 4162 0 0
57 4297 65.55150646628954 4297 0 0
58 4435 66.59579566308972 4435 0 0
59 4596 67.79380502671317 4596 0 0
60 4771 69.0724257573165 4771 0 0
61 4920 70.14271166700073 4920 0 0
62 5077 71.25307010929424 5077 0 0
63 5248 72.44308110509934 5248 0 0
64 5401 73.49149610669251 5401 0 0
65 5547 74.47818472546173 5547 0 0
66 5685 75.39893898457723 5685 0 0
67 5840 76.4198926981712 5840 0 0
68 5986 77.3692445355388 5986 0 0
69 6141 78.36453279386026 6141 0 0
70 6273 79.20227269466452 6273 0 0
71 6394 79.96249120681522 6394 0 0
72 6485 80.52949770115296 6485 0 0
73 6647 81.52913589631623 6647 0 0
74 6765 82.24962005991274 6765 0 0
75 6900 83.06623862918075 6900 0 0
