#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 9 3.0 7 2 0
2 12 3.4641016151377544 4 8 0
3 14 3.7416573867739413 5 9 0
4 14 3.7416573867739413 3 11 0
5 14 3.7416573867739413 3 11 0
6 16 4.0 4 12 0
7 18 4.242640687119285 3 15 0
8 17 4.123105625617661 3 14 0
9 20 4.47213595499958 5 15 0
10 22 4.69041575982343 7 15 0
11 26 5.0990195135927845 12 14 0
12 29 5.385164807134504 14 15 0
13 35 5.916079783099616 16 19 0
14 41 6.4031242374328485 17 24 0
15 46 6.782329983125268 18 28 0
16 50 7.0710678118654755 21 29 0
17 57 7.54983443527075 22 35 0
18 66 8.12403840463596 22 44 0
19 76 8.717797887081348 19 57 0
20 83 9.1104335791443 17 66 0
21 83 9.1104335791443 17 66 0
22 86 9.273618495495704 13 73 0
23 89 9.433981132056603 15 74 0
24 92 9.591663046625438 9 83 0
25 95 9.746794344808963 15 80 0
26 97 9.848857801796104 18 79 0
27 98 9.899494936611665 19 79 0
28 105 10.246950765959598 18 87 0
29 105 10.246950765959598 12 93 0
30 107 10.344080432788601 12 95 0
31 112 10.583005244258363 16 96 0
32 111 10.535653752852738 11 100 0
33 112 10.583005244258363 15 97 0
34 118 10.862780491200215 26 92 0
35 123 11.090536506409418 26 97 0
36 127 11.269427669584644 34 93 0
37 138 11.74734012447073 41 97 0
38 146 12.083045973594572 43 103 0
39 152 12.328828005937952 35 117 0
40 165 12.84523257866513 29 136 0
41 169 13.0 31 138 0
42 168 12.96148139681572 28 140 0
43 170 13.038404810405298 33 137 0
44 168 12.96148139681572 33 135 0
45 170 13.038404810405298 26 144 0
46 170 13.038404810405298 29 141 0
47 172 13.114877048604 28 144 0
48 174 13.19090595827292 25 149 0
49 176 13.2664991614216 26 150 0
50 185 13.601470508735444 25 160 0
51 186 13.638181696985855 27 159 0
52 192 13.856406460551018 28 164 0
53 192 13.856406460551018 31 161 0
