#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 13 2.5649493574615367 11 2 0
2 23 3.1354942159291497 15 8 0
3 32 3.4657359027997265 20 12 0
4 62 4.127134385045092 38 24 0
5 109 4.6913478822291435 52 57 0
6 162 5.087596335232384 91 71 0
7 304 5.717027701406222 184 120 0
8 545 6.300785794663244 314 231 0
9 893 6.794586580876499 522 371 0
10 1502 7.31455283232408 918 582 2
11 2440 7.799753318287247 1495 943 2
12 3645 8.201111644442758 2215 1428 2
13 5037 8.52456594574565 3066 1966 5
14 6521 8.782783017393202 3941 2574 6
15 7647 8.942068693044225 4680 2959 8
16 8477 9.045111892608405 5175 3294 8
17 9047 9.110188490025742 5508 3531 8
18 9380 9.14633504200027 5731 3640 9
19 9562 9.165552189186048 5820 3732 10
20 9678 9.177610547353265 5870 3797 11
21 9759 9.18594521514146 5894 3854 11
22 9796 9.189729418072059 5887 3898 11
23 9814 9.191565216649849 5884 3919 11
24 9830 9.193194213141211 5891 3928 11
25 9838 9.194007717355285 5896 3931 11
26 9822 9.19238004659919 5886 3925 11
27 9833 9.193499354780156 5885 3937 11
28 9837 9.193906065512758 5887 3939 11
29 9853 9.195531256322475 5897 3945 11
30 9837 9.193906065512758 5911 3915 11
31 9826 9.192787212728593 5908 3906 12
32 9821 9.192278229157774 5912 3897 12
33 9827 9.192888978362427 5901 3914 12
34 9817 9.191870855692521 5899 3906 12
35 9813 9.191463316206494 5896 3905 12
36 9811 9.19125948416339 5894 3905 12
37 9825 9.192685436737461 5912 3901 12
38 9832 9.19339765124587 5923 3897 12
39 9829 9.19309247856663 5928 3888 13
40 9832 9.19339765124587 5917 3901 14
41 9823 9.19248185367487 5926 3883 14
42 9827 9.192888978362427 5939 3875 13
43 9827 9.192888978362427 5937 3877 13
44 9827 9.192888978362427 5942 3872 13
45 9816 9.191768986390747 5930 3873 13
46 9818 9.191972714617998 5933 3872 13
47 9817 9.191870855692521 5933 3871 13
48 9829 9.19309247856663 5952 3864 13
49 9824 9.192583650386924 5943 3868 13
50 9806 9.190749722211178 5927 3866 13
51 9822 9.19238004659919 5939 3870 13
52 9835 9.19370273082316 5957 3864 14
53 9824 9.192583650386924 5949 3861 14
54 9822 9.19238004659919 5944 3864 14
55 9835 9.19370273082316 5948 3873 14
56 9819 9.19207456316929 5930 3875 14
57 9832 9.19339765124587 5939 3879 14
58 9811 9.19125948416339 5931 3866 14
59 9813 9.191463316206494 5941 3858 14
60 9822 9.19238004659919 5948 3860 14
61 9824 9.192583650386924 5959 3851 14
62 9842 9.194414221425923 5979 3849 14
