#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 16 2.772588722239781 14 2 0
2 42 3.7376696182833684 30 12 0
3 79 4.3694478524670215 50 29 0
4 154 5.0369526024136295 83 71 0
5 253 5.53338948872752 149 104 0
6 449 6.1070228877422545 276 173 0
7 770 6.646390514847729 492 278 0
8 1367 7.220373836723949 863 504 0
9 2295 7.738488122494646 1384 911 0
10 3452 8.146709052203319 2059 1393 0
11 4794 8.475120414994329 2856 1938 0
12 6093 8.714895850248494 3664 2429 0
13 7302 8.895903562215581 4361 2941 0
14 8229 9.015419779605713 4955 3274 0
15 8846 9.087720658428273 5345 3501 0
16 9244 9.131729971394272 5569 3675 0
17 9474 9.156306483483696 5702 3772 0
18 9616 9.17118365677499 5754 3862 0
19 9674 9.177197153382929 5775 3899 0
20 9740 9.18399639663658 5811 3929 0
21 9745 9.184509611941662 5816 3929 0
22 9768 9.18686701579054 5812 3956 0
23 9776 9.187685681411377 5833 3943 0
24 9782 9.188299241099303 5812 3970 0
25 9794 9.189525232262262 5817 3977 0
26 9784 9.188503677367008 5799 3985 0
27 9804 9.190545744648004 5806 3998 0
28 9801 9.19023970026918 5819 3982 0
29 9826 9.192787212728593 5828 3998 0
30 9816 9.191768986390747 5821 3995 0
31 9825 9.192685436737461 5827 3998 0
32 9822 9.19238004659919 5832 3990 0
33 9807 9.19085169539232 5808 3999 0
34 9807 9.19085169539232 5791 4016 0
35 9819 9.19207456316929 5795 4024 0
36 9789 9.18901458526143 5774 4015 0
37 9797 9.189831495344642 5756 4041 0
38 9796 9.189729418072059 5736 4060 0
39 9791 9.189218875354072 5734 4057 0
40 9765 9.186559843310778 5721 4044 0
41 9796 9.189729418072059 5741 4055 0
42 9784 9.188503677367008 5736 4048 0
43 9805 9.190647738630446 5740 4065 0
44 9795 9.189627330378642 5729 4066 0
45 9809 9.191055610564316 5729 4080 0
46 9806 9.190749722211178 5723 4083 0
47 9834 9.193601047971885 5751 4083 0
48 9810 9.191157552559408 5745 4065 0
49 9813 9.191463316206494 5731 4082 0
50 9799 9.190035618635818 5726 4073 0
51 9796 9.189729418072059 5718 4078 0
52 9784 9.188503677367008 5688 4096 0
53 9793 9.189423123720795 5700 4093 0
54 9810 9.191157552559408 5708 4102 0
55 9799 9.190035618635818 5695 4104 0
56 9798 9.18993356219852 5686 4112 0
57 9792 9.189321004752108 5674 4118 0
58 9807 9.19085169539232 5702 4105 0
59 9792 9.189321004752108 5693 4099 0
60 9806 9.190749722211178 5687 4119 0
61 9823 9.19248185367487 5694 4129 0
62 9827 9.192888978362427 5706 4121 0
63 9804 9.190545744648004 5694 4110 0
64 9799 9.190035618635818 5679 4120 0
65 9804 9.190545744648004 5677 4127 0
66 9790 9.189116735524555 5683 4107 0
67 9784 9.188503677367008 5686 4098 0
68 9779 9.187992508312275 5680 4099 0
69 9782 9.188299241099303 5676 4106 0
70 9782 9.188299241099303 5661 4121 0
71 9780 9.188094763028863 5668 4112 0
72 9789 9.18901458526143 5682 4107 0
73 9795 9.189627330378642 5694 4101 0
74 9791 9.189218875354072 5698 4093 0
75 9800 9.190137664658664 5692 4108 0
76 9779 9.187992508312275 5679 4100 0
77 9795 9.189627330378642 5700 4095 0
78 9806 9.190749722211178 5701 4105 0
79 9797 9.189831495344642 5683 4114 0
80 9789 9.18901458526143 5661 4128 0
81 9786 9.188708071849069 5619 4167 0
82 9785 9.188605879830176 5618 4167 0
