#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 2.23606797749979 5 0 0
1 5 2.23606797749979 4 1 0
2 6 2.449489742783178 2 4 0
3 7 2.6457513110645907 3 4 0
4 11 3.3166247903554 5 6 0
5 12 3.4641016151377544 7 5 0
6 14 3.7416573867739413 9 5 0
7 17 4.123105625617661 9 8 0
8 20 4.47213595499958 7 13 0
9 21 4.58257569495584 8 13 0
10 23 4.795831523312719 8 15 0
11 26 5.0990195135927845 14 12 0
12 31 5.5677643628300215 14 17 0
13 37 6.082762530298219 17 20 0
14 43 6.557438524302 21 22 0
15 49 7.0 27 22 0
16 61 7.810249675906654 32 29 0
17 65 8.06225774829855 31 34 0
18 72 8.48528137423857 36 36 0
19 80 8.94427190999916 38 42 0
20 85 9.219544457292887 40 45 0
21 105 10.246950765959598 50 55 0
22 123 11.090536506409418 64 59 0
23 138 11.74734012447073 71 67 0
24 150 12.24744871391589 79 71 0
25 170 13.038404810405298 78 92 0
26 185 13.601470508735444 95 90 0
27 195 13.96424004376894 88 107 0
28 207 14.38749456993816 101 106 0
29 220 14.832396974191326 128 92 0
30 242 15.556349186104045 145 97 0
31 270 16.431676725154983 159 111 0
32 296 17.204650534085253 156 140 0
33 318 17.832554500127006 167 151 0
34 349 18.681541692269406 190 159 0
35 367 19.157244060668017 183 184 0
36 382 19.544820285692065 195 187 0
37 404 20.09975124224178 214 190 0
38 428 20.688160865577203 207 221 0
39 456 21.354156504062622 209 247 0
40 471 21.702534414210707 200 271 0
41 499 22.338307903688676 231 268 0
42 521 22.825424421026653 267 254 0
43 548 23.40939982143925 261 287 0
44 571 23.895606290697042 283 288 0
45 609 24.677925358506133 303 306 0
46 641 25.317977802344327 327 314 0
47 670 25.88435821108957 358 312 0
48 701 26.476404589747453 362 339 0
49 746 27.313000567495326 403 343 0
50 787 28.053520278211074 421 366 0
51 836 28.91366458960192 479 357 0
52 894 29.899832775452108 491 403 0
53 937 30.610455730027933 508 429 0
54 983 31.352830813181765 539 444 0
55 1021 31.953090617340916 549 472 0
56 1062 32.58834147360065 544 518 0
57 1095 33.090784215548595 574 521 0
58 1124 33.52610922848042 579 545 0
59 1163 34.10278580995987 584 579 0
60 1203 34.68429039204925 622 581 0
61 1230 35.07135583350036 621 609 0
62 1255 35.4259791678367 614 641 0
63 1284 35.832945734337834 679 605 0
64 1312 36.22154055254967 691 621 0
65 1346 36.68787265568828 706 640 0
66 1381 37.16180835212409 739 642 0
67 1421 37.69615364994153 738 683 0
68 1470 38.34057902536163 766 704 0
69 1515 38.92300091205713 777 738 0
70 1546 39.319206502675 799 747 0
71 1596 39.949968710876355 844 752 0
72 1654 40.66939881532551 917 737 0
73 1702 41.255302689472536 905 797 0
74 1715 41.41255848169731 924 791 0
75 1780 42.190046219457976 979 801 0
76 1839 42.883563284783136 989 850 0
77 1875 43.30127018922193 1019 856 0
78 1929 43.9203825119955 998 931 0
79 1988 44.58699361921591 1049 939 0
80 2027 45.02221673796171 1036 991 0
81 2075 45.552167895721496 1061 1014 0
82 2128 46.130250378683186 1131 997 0
83 2188 46.776062254106 1199 989 0
84 2247 47.40253157796533 1228 1019 0
85 2293 47.885279575251516 1244 1049 0
86 2358 48.55924216871593 1343 1015 0
87 2413 49.122296363260546 1359 1054 0
88 2491 49.90991885387112 1414 1077 0
89 2547 50.46781152378217 1414 1133 0
90 2614 51.12729212465687 1417 1197 0
91 2666 51.633322573702344 1457 1209 0
92 2721 52.16320542297991 1485 1236 0
93 2788 52.80151512977634 1573 1215 0
94 2864 53.51635264103861 1643 1221 0
95 2961 54.415071441651165 1661 1300 0
96 3050 55.226805085936306 1705 1345 0
97 3129 55.937465083787984 1714 1415 0
98 3194 56.515484603779164 1789 1405 0
99 3265 57.14017850864661 1734 1531 0
100 3342 57.810033731178535 1788 1554 0
101 3403 58.33523806414096 1808 1595 0
102 3490 59.07622195096772 1791 1699 0
103 3568 59.732738092272314 1868 1700 0
104 3639 60.32412452742269 1923 1716 0
105 3707 60.88513775955508 1920 1787 0
106 3774 61.43289021363068 1973 1801 0
107 3842 61.98386886924694 2016 1826 0
108 3919 62.601916903558156 2070 1849 0
109 4000 63.245553203367585 2127 1873 0
110 4054 63.671029518926424 2154 1900 0
111 4129 64.25729530566937 2200 1929 0
112 4198 64.79197481170026 2282 1916 0
113 4274 65.37583651472461 2319 1955 0
114 4360 66.03029607687671 2415 1945 0
115 4442 66.64833081180653 2381 2061 0
116 4536 67.34983296193094 2448 2088 0
117 4576 67.64613810115105 2497 2079 0
118 4668 68.32276341015489 2534 2134 0
119 4741 68.85491994040804 2544 2197 0
120 4798 69.26759704219572 2508 2290 0
121 4869 69.77822009767804 2540 2329 0
122 4908 70.05711955254797 2593 2315 0
123 4963 70.44856279584417 2691 2272 0
124 5015 70.81666470542086 2673 2342 0
125 5071 71.21095421351971 2671 2400 0
126 5127 71.60307255977219 2701 2426 0
127 5181 71.97916365171243 2696 2485 0
128 5228 72.30490993010088 2712 2516 0
129 5276 72.63607918933951 2775 2501 0
130 5320 72.93833011524188 2861 2459 0
131 5377 73.32803011127464 2956 2421 0
132 5411 73.55949972641196 2953 2458 0
133 5459 73.8850458482635 3024 2435 0
134 5504 74.18894796396563 2942 2562 0
135 5555 74.53187237685633 2998 2557 0
136 5599 74.82646590612174 3008 2591 0
137 5642 75.11324783285569 3059 2583 0
138 5687 75.41220060441148 3209 2478 0
139 5731 75.70336848516055 3230 2501 0
140 5772 75.97367965289031 3269 2503 0
141 5814 76.249590162833 3223 2591 0
142 5854 76.51143705355429 3196 2658 0
143 5905 76.84399781375251 3175 2730 0
144 5960 77.20103626247513 3226 2734 0
145 5999 77.45321168292507 3264 2735 0
146 6045 77.74959806970065 3277 2768 0
147 6056 77.82030583337487 3185 2871 0
148 6097 78.08328886515987 3293 2804 0
149 6158 78.4729252672538 3345 2813 0
150 6195 78.70832230456955 3336 2859 0
151 6246 79.03163923391695 3374 2872 0
152 6279 79.24014134263012 3374 2905 0
153 6331 79.56758133813042 3311 3020 0
154 6373 79.83107164506812 3428 2945 0
155 6393 79.95623803056269 3478 2915 0
156 6424 80.14985963805552 3456 2968 0
157 6428 80.17480901130978 3354 3074 0
158 6446 80.2869852466762 3504 2942 0
159 6484 80.52328855678958 3597 2887 0
160 6512 80.69696400732806 3473 3039 0
161 6550 80.93207028119323 3479 3071 0
162 6615 81.33265027035576 3628 2987 0
163 6656 81.58431221748455 3708 2948 0
164 6683 81.74961773610933 3658 3025 0
165 6713 81.93289937503738 3653 3060 0
166 6763 82.23746105030237 3639 3124 0
167 6771 82.28608630868283 3679 3092 0
168 6813 82.54089895318563 3646 3167 0
169 6870 82.8854631404084 3653 3217 0
170 6889 83.0 3614 3275 0
171 6917 83.16850365372699 3673 3244 0
172 6967 83.46855695410099 3696 3271 0
173 7008 83.7137981458254 3736 3272 0
174 7022 83.7973746605465 3788 3234 0
175 7058 84.01190391843289 3816 3242 0
176 7101 84.26743143112884 3879 3222 0
177 7161 84.62269199216011 3902 3259 0
178 7206 84.88816171881683 3905 3301 0
179 7253 85.16454661418682 3878 3375 0
180 7294 85.4049178911847 3933 3361 0
181 7339 85.66796367370944 3964 3375 0
182 7357 85.77295611088614 3897 3460 0
183 7408 86.06973916540005 3962 3446 0
184 7441 86.26123115281858 3949 3492 0
185 7483 86.50433515148244 3995 3488 0
186 7523 86.73522929006414 3986 3537 0
187 7563 86.96551040498757 4071 3492 0
188 7595 87.14929718592113 4183 3412 0
189 7626 87.3269717784832 4126 3500 0
190 7683 87.6527238595584 4180 3503 0
191 7729 87.91473141629905 4188 3541 0
192 7757 88.07383266328314 4286 3471 0
193 7794 88.28363381737297 4263 3531 0
194 7841 88.54942122905152 4215 3626 0
195 7867 88.69611039949835 4205 3662 0
196 7904 88.90444308357148 4242 3662 0
197 7947 89.14594774862175 4321 3626 0
198 8006 89.47625383307015 4299 3707 0
199 8041 89.67162315916892 4291 3750 0
200 8069 89.8276126811795 4291 3778 0
