#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 2.0 4 0
1 10 3.1622776601683795 10 0
2 13 3.605551275463989 13 0
3 18 4.242640687119285 18 0
4 27 5.196152422706632 27 0
5 41 6.4031242374328485 41 0
6 50 7.0710678118654755 50 0
7 62 7.874007874011811 62 0
8 90 9.486832980505138 90 0
9 118 10.862780491200215 118 0
10 145 12.041594578792296 145 0
11 177 13.30413469565007 177 0
12 205 14.317821063276353 205 0
13 215 14.66287829861518 215 0
14 244 15.620499351813308 244 0
15 275 16.583123951777 275 0
16 302 17.378147196982766 302 0
17 347 18.627936010197157 347 0
18 384 19.595917942265423 384 0
19 433 20.808652046684813 433 0
20 483 21.97726097583591 483 0
21 549 23.430749027719962 549 0
22 608 24.657656011875904 608 0
23 678 26.038433132583073 678 0
24 731 27.03701166919155 731 0
25 800 28.284271247461902 800 0
26 872 29.5296461204668 872 0
27 941 30.675723300355934 941 0
28 996 31.559467676119 996 0
29 1070 32.71085446759225 1070 0
30 1150 33.91164991562634 1150 0
31 1237 35.17101079013795 1237 0
32 1322 36.359317925395686 1322 0
33 1410 37.54996671103717 1410 0
34 1500 38.72983346207417 1500 0
35 1603 40.0374824383352 1603 0
36 1696 41.182520563948 1696 0
37 1792 42.33202097703345 1792 0
38 1898 43.56604182158393 1898 0
39 2009 44.82186966202994 2009 0
40 2134 46.195237849804386 2134 0
41 2273 47.67598976424087 2273 0
42 2393 48.91829923454004 2393 0
43 2524 50.23942674832188 2524 0
44 2656 51.536394906900505 2656 0
45 2798 52.896124621752776 2798 0
46 2930 54.12947441089743 2930 0
47 3036 55.09990925582364 3036 0
48 3153 56.15158056546583 3153 0
49 3298 57.42821606144492 3298 0
50 3405 58.35237784358063 3405 0
51 3489 59.06775770248944 3489 0
52 3612 60.09991680526688 3612 0
53 3715 60.95079983068311 3715 0
54 3790 61.56297588648554 3790 0
55 3911 62.53798845501828 3911 0
56 3980 63.08724118235002 3980 0
57 4052 63.655321851358195 4052 0
58 4124 64.21837743200929 4124 0
