#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 2.0 4 0
1 6 2.449489742783178 2 4
2 7 2.6457513110645907 1 6
3 7 2.6457513110645907 0 7
4 7 2.6457513110645907 0 7
5 6 2.449489742783178 0 6
6 6 2.449489742783178 0 6
7 6 2.449489742783178 0 6
8 6 2.449489742783178 0 6
9 6 2.449489742783178 0 6
10 6 2.449489742783178 0 6
11 6 2.449489742783178 0 6
12 6 2.449489742783178 0 6
13 6 2.449489742783178 0 6
14 6 2.449489742783178 0 6
15 5 2.23606797749979 0 5
16 5 2.23606797749979 0 5
17 5 2.23606797749979 0 5
18 5 2.23606797749979 0 5
19 5 2.23606797749979 0 5
20 5 2.23606797749979 0 5
21 5 2.23606797749979 0 5
22 5 2.23606797749979 0 5
23 5 2.23606797749979 0 5
24 5 2.23606797749979 0 5
25 5 2.23606797749979 0 5
26 5 2.23606797749979 0 5
27 5 2.23606797749979 0 5
28 5 2.23606797749979 0 5
29 5 2.23606797749979 0 5
30 4 2.0 0 4
31 4 2.0 0 4
32 4 2.0 0 4
33 4 2.0 0 4
34 4 2.0 0 4
35 4 2.0 0 4
36 4 2.0 0 4
37 4 2.0 0 4
38 4 2.0 0 4
39 4 2.0 0 4
40 4 2.0 0 4
41 4 2.0 0 4
42 4 2.0 0 4
43 4 2.0 0 4
44 3 1.7320508075688772 0 3
45 2 1.4142135623730951 0 2
46 2 1.4142135623730951 0 2
47 2 1.4142135623730951 0 2
48 2 1.4142135623730951 0 2
49 2 1.4142135623730951 0 2
50 2 1.4142135623730951 0 2
51 2 1.4142135623730951 0 2
52 2 1.4142135623730951 0 2
53 2 1.4142135623730951 0 2
54 2 1.4142135623730951 0 2
55 2 1.4142135623730951 0 2
56 2 1.4142135623730951 0 2
57 2 1.4142135623730951 0 2
58 2 1.4142135623730951 0 2
59 2 1.4142135623730951 0 2
60 2 1.4142135623730951 0 2
61 2 1.4142135623730951 0 2
62 2 1.4142135623730951 0 2
63 2 1.4142135623730951 0 2
64 2 1.4142135623730951 0 2
65 2 1.4142135623730951 0 2
66 2 1.4142135623730951 0 2
67 2 1.4142135623730951 0 2
68 2 1.4142135623730951 0 2
69 2 1.4142135623730951 0 2
70 2 1.4142135623730951 0 2
71 1 1.0 0 1
72 1 1.0 0 1
73 1 1.0 0 1
74 1 1.0 0 1
75 1 1.0 0 1
76 1 1.0 0 1
77 1 1.0 0 1
78 1 1.0 0 1
79 1 1.0 0 1
80 1 1.0 0 1
81 1 1.0 0 1
82 1 1.0 0 1
83 1 1.0 0 1
84 1 1.0 0 1
85 1 1.0 0 1
86 1 1.0 0 1
87 1 1.0 0 1
88 1 1.0 0 1
89 1 1.0 0 1
90 1 1.0 0 1
91 1 1.0 0 1
92 1 1.0 0 1
93 1 1.0 0 1
94 1 1.0 0 1
95 1 1.0 0 1
96 1 1.0 0 1
97 1 1.0 0 1
98 1 1.0 0 1
99 1 1.0 0 1
100 1 1.0 0 1
101 1 1.0 0 1
102 1 1.0 0 1
103 1 1.0 0 1
104 1 1.0 0 1
105 1 1.0 0 1
106 1 1.0 0 1
107 1 1.0 0 1
108 1 1.0 0 1
109 1 1.0 0 1
110 1 1.0 0 1
111 1 1.0 0 1
112 1 1.0 0 1
113 1 1.0 0 1
114 1 1.0 0 1
115 1 1.0 0 1
116 1 1.0 0 1
117 1 1.0 0 1
118 1 1.0 0 1
119 1 1.0 0 1
120 1 1.0 0 1
121 1 1.0 0 1
122 1 1.0 0 1
123 1 1.0 0 1
124 1 1.0 0 1
125 1 1.0 0 1
126 1 1.0 0 1
127 1 1.0 0 1
128 1 1.0 0 1
129 1 1.0 0 1
130 1 1.0 0 1
131 1 1.0 0 1
132 1 1.0 0 1
133 1 1.0 0 1
134 1 1.0 0 1
135 1 1.0 0 1
136 1 1.0 0 1
137 1 1.0 0 1
138 1 1.0 0 1
139 1 1.0 0 1
140 1 1.0 0 1
141 1 1.0 0 1
142 1 1.0 0 1
143 1 1.0 0 1
144 1 1.0 0 1
145 1 1.0 0 1
146 1 1.0 0 1
147 1 1.0 0 1
148 1 1.0 0 1
149 1 1.0 0 1
150 1 1.0 0 1
151 1 1.0 0 1
152 1 1.0 0 1
153 1 1.0 0 1
154 1 1.0 0 1
155 1 1.0 0 1
156 1 1.0 0 1
157 1 1.0 0 1
158 1 1.0 0 1
159 1 1.0 0 1
160 1 1.0 0 1
161 1 1.0 0 1
162 1 1.0 0 1
163 1 1.0 0 1
164 1 1.0 0 1
165 1 1.0 0 1
166 1 1.0 0 1
167 1 1.0 0 1
168 1 1.0 0 1
169 1 1.0 0 1
170 1 1.0 0 1
171 1 1.0 0 1
172 1 1.0 0 1
173 1 1.0 0 1
174 1 1.0 0 1
175 1 1.0 0 1
176 1 1.0 0 1
177 1 1.0 0 1
178 1 1.0 0 1
179 1 1.0 0 1
180 1 1.0 0 1
181 1 1.0 0 1
182 1 1.0 0 1
183 1 1.0 0 1
184 1 1.0 0 1
185 1 1.0 0 1
186 1 1.0 0 1
187 1 1.0 0 1
188 1 1.0 0 1
189 1 1.0 0 1
190 1 1.0 0 1
191 1 1.0 0 1
192 1 1.0 0 1
193 1 1.0 0 1
194 1 1.0 0 1
195 1 1.0 0 1
196 1 1.0 0 1
197 1 1.0 0 1
198 1 1.0 0 1
199 1 1.0 0 1
200 1 1.0 0 1
