#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 2.0 4 0
1 5 2.23606797749979 5 0
2 9 3.0 9 0
3 13 3.605551275463989 13 0
4 19 4.358898943540674 19 0
5 34 5.830951894845301 34 0
6 47 6.855654600401044 47 0
7 59 7.681145747868608 59 0
8 77 8.774964387392123 77 0
9 91 9.539392014169456 91 0
10 106 10.295630140987 106 0
11 125 11.180339887498949 125 0
12 154 12.409673645990857 154 0
13 175 13.228756555322953 175 0
14 210 14.491376746189438 210 0
15 243 15.588457268119896 243 0
16 283 16.822603841260722 283 0
17 325 18.027756377319946 325 0
18 383 19.570385790780925 383 0
19 431 20.760539492026695 431 0
20 482 21.95449840010015 482 0
21 547 23.388031127053 547 0
22 609 24.677925358506133 609 0
23 671 25.903667693977237 671 0
24 730 27.018512172212592 730 0
25 806 28.39013913315678 806 0
26 876 29.597297173897484 876 0
27 951 30.83828789021855 951 0
28 1029 32.07802986469088 1029 0
29 1112 33.34666400106613 1112 0
30 1210 34.785054261852174 1210 0
31 1312 36.22154055254967 1312 0
32 1410 37.54996671103717 1410 0
33 1499 38.71692136521188 1499 0
34 1610 40.124805295477756 1610 0
35 1708 41.32795663954365 1708 0
36 1815 42.60281680828159 1815 0
37 1927 43.89760813529594 1927 0
38 2033 45.088801270381985 2033 0
39 2167 46.551047249229526 2167 0
40 2268 47.62352359916263 2268 0
41 2368 48.662100242385755 2368 0
42 2492 49.91993589739474 2492 0
43 2599 50.98038838612354 2599 0
44 2716 52.11525688318153 2716 0
45 2845 53.33854141237835 2845 0
46 2975 54.543560573178574 2975 0
47 3111 55.776339069537364 3111 0
48 3238 56.90342696182718 3238 0
49 3398 58.29236656715869 3398 0
50 3542 59.51470406546604 3542 0
51 3700 60.8276253029822 3700 0
52 3848 62.03224967708329 3848 0
53 4018 63.387695966961914 4018 0
54 4187 64.70703207534712 4187 0
55 4347 65.93178292750773 4347 0
56 4525 67.26812023536856 4525 0
57 4737 68.82586723027906 4737 0
58 4916 70.11419257183242 4916 0
59 5082 71.28814768248647 5082 0
60 5280 72.6636084983398 5280 0
61 5400 73.48469228349535 5400 0
62 5534 74.39085965358916 5534 0
63 5681 75.37240874484509 5681 0
64 5821 76.2954782408499 5821 0
65 5963 77.22046360907191 5963 0
66 6080 77.9743547584717 6080 0
67 6177 78.59389289251423 6177 0
68 6279 79.24014134263012 6279 0
69 6380 79.87490219086344 6380 0
70 6497 80.60397012554654 6497 0
71 6613 81.32035415564789 6613 0
72 6706 81.89017035029296 6706 0
73 6805 82.49242389456137 6805 0
74 6894 83.03011501858829 6894 0
75 6947 83.34866525625951 6947 0
76 7013 83.74365647617735 7013 0
77 7121 84.38601779915912 7121 0
78 7224 84.99411744350311 7224 0
79 7296 85.41662601625049 7296 0
80 7373 85.86617494683223 7373 0
81 7460 86.37129152675674 7460 0
82 7548 86.87922651589389 7548 0
83 7618 87.28115489611719 7618 0
84 7681 87.64131445842195 7681 0
85 7746 88.01136290275251 7746 0
86 7817 88.41379982785493 7817 0
87 7877 88.75246475450696 7877 0
88 7932 89.06177631284928 7932 0
89 7992 89.39798655450804 7992 0
90 8055 89.74965180990955 8055 0
91 8114 90.07774419910837 8114 0
92 8179 90.43782394551519 8179 0
93 8237 90.75791976461338 8237 0
94 8299 91.09884741312592 8299 0
95 8341 91.32907532653553 8341 0
96 8370 91.48770409186143 8370 0
97 8417 91.7442096265481 8417 0
98 8461 91.98369420718001 8461 0
99 8506 92.22797840135064 8506 0
100 8557 92.50405396521819 8557 0
101 8585 92.65527507918802 8585 0
102 8629 92.89241088485109 8629 0
103 8683 93.18261640456336 8683 0
104 8728 93.4237657130133 8728 0
105 8764 93.6162379077476 8764 0
106 8798 93.79765455489812 8798 0
107 8842 94.03190947758107 8842 0
108 8854 94.09569596958194 8854 0
109 8896 94.31860898041276 8896 0
110 8940 94.55157322858251 8940 0
111 8966 94.68896451012652 8966 0
112 8998 94.85778829384543 8998 0
113 9040 95.0789145920377 9040 0
114 9065 95.2102935611481 9065 0
115 9096 95.37295214053091 9096 0
116 9120 95.49869109050658 9120 0
117 9152 95.66608594481119 9152 0
118 9150 95.65563234854496 9150 0
119 9181 95.81753492967766 9181 0
120 9199 95.91141746424145 9199 0
121 9210 95.96874491208062 9210 0
122 9257 96.21330469326995 9257 0
123 9280 96.33275663033837 9280 0
124 9290 96.38464608017192 9290 0
125 9312 96.49870465451855 9312 0
126 9337 96.62815324738438 9337 0
127 9352 96.70573922989266 9352 0
128 9387 96.88653157173086 9387 0
129 9451 97.21625378505387 9451 0
130 9465 97.28823155962904 9465 0
131 9487 97.40123202506219 9487 0
132 9474 97.3344748791506 9474 0
133 9488 97.40636529508737 9488 0
134 9514 97.53973549277238 9514 0
135 9519 97.56536270623914 9519 0
136 9530 97.62171889492625 9530 0
137 9546 97.70363350459388 9546 0
138 9568 97.81615408509987 9568 0
139 9569 97.82126558167197 9569 0
140 9603 97.99489782636645 9603 0
141 9598 97.96938297243685 9598 0
142 9610 98.03060746521976 9610 0
143 9636 98.16312953446422 9636 0
144 9639 98.17840903172143 9639 0
145 9642 98.1936861514018 9642 0
146 9638 98.17331613019904 9638 0
147 9650 98.2344135219425 9650 0
148 9655 98.2598595561789 9655 0
149 9672 98.34632682515398 9672 0
150 9692 98.44795579391175 9692 0
151 9708 98.52918349402881 9708 0
152 9710 98.5393322486001 9710 0
153 9720 98.5900603509299 9720 0
154 9738 98.68130522039117 9738 0
155 9743 98.70663604844408 9743 0
156 9749 98.73702446397704 9749 0
157 9755 98.76740352970711 9755 0
158 9772 98.85342685005918 9772 0
159 9792 98.95453501482385 9792 0
160 9802 99.00505037623081 9802 0
161 9804 99.0151503558925 9804 0
162 9812 99.05553997631834 9812 0
163 9827 99.13122616007531 9827 0
164 9825 99.12113800799504 9825 0
165 9842 99.20685460188726 9842 0
166 9833 99.16148445843275 9833 0
167 9854 99.26731586982696 9854 0
168 9859 99.29249719893241 9859 0
169 9838 99.18669265581951 9838 0
170 9841 99.20181449953424 9841 0
171 9854 99.26731586982696 9854 0
