#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 1.3862943611198906 4 0
1 4 1.3862943611198906 4 0
2 11 2.3978952727983707 7 4
3 18 2.8903717578961645 10 8
4 31 3.4339872044851463 11 20
5 42 3.7376696182833684 10 32
6 48 3.871201010907891 13 35
7 55 4.007333185232471 13 42
8 70 4.248495242049359 18 52
9 84 4.430816798843313 24 60
10 101 4.61512051684126 26 75
11 123 4.812184355372417 20 103
12 141 4.948759890378168 25 116
13 166 5.111987788356544 34 132
14 207 5.332718793265369 48 159
15 261 5.564520407322694 49 212
16 317 5.75890177387728 79 238
17 400 5.991464547107982 79 321
18 468 6.148468295917647 87 380
19 538 6.2878585601617845 92 444
20 614 6.419994928147142 95 516
21 702 6.553933404025811 115 583
22 804 6.6895992691789665 136 664
23 945 6.851184927493743 180 760
24 1089 6.9930151229329605 213 868
25 1269 7.1459844677143876 265 993
26 1465 7.289610521451167 301 1153
27 1673 7.422373700986824 368 1293
28 1941 7.57095858316901 441 1487
29 2221 7.7057128238944275 481 1727
30 2509 7.827639546366422 522 1974
31 2779 7.929846429742503 596 2169
32 3020 8.013012110368916 640 2365
33 3308 8.104099056143582 728 2562
34 3571 8.18060094759445 798 2755
35 3807 8.244596756382498 871 2918
36 4058 8.30844552038576 916 3124
37 4287 8.363342466597977 961 3307
38 4455 8.40178233990491 987 3449
39 4585 8.430545384690566 994 3571
40 4708 8.457018468380168 1014 3673
41 4835 8.483636407887394 1055 3759
42 4933 8.503702601233739 1072 3839
43 5009 8.518991573357617 1088 3898
44 5066 8.53030683056162 1104 3938
45 5129 8.542665987389269 1111 3994
46 5180 8.55256033525353 1120 4036
47 5201 8.556606193773073 1112 4065
48 5222 8.560635749259074 1119 4079
49 5254 8.566744970245486 1129 4101
50 5292 8.573951525234847 1132 4136
51 5303 8.57602797713713 1148 4131
52 5317 8.57866451350434 1161 4132
53 5322 8.579604451537634 1161 4137
54 5331 8.581294116822761 1168 4139
55 5338 8.58260632996447 1177 4137
56 5337 8.582418976333944 1176 4137
57 5327 8.580543506917 1187 4116
58 5325 8.580167990577626 1185 4116
59 5333 8.581669210600602 1196 4113
60 5335 8.582044163735853 1186 4125
61 5349 8.58466490653125 1191 4134
62 5349 8.58466490653125 1187 4138
63 5354 8.585599224080298 1182 4148
64 5359 8.58653266949485 1193 4142
65 5348 8.584477938221834 1195 4129
66 5359 8.58653266949485 1190 4145
67 5373 8.589141690728821 1197 4151
68 5380 8.59044365315583 1199 4156
69 5386 8.591558273371545 1206 4154
70 5388 8.591929537530255 1208 4154
71 5399 8.593969030218288 1205 4168
72 5390 8.592300663903043 1205 4158
73 5373 8.589141690728821 1215 4131
74 5372 8.588955557643128 1212 4133
75 5373 8.589141690728821 1224 4121
76 5361 8.586905803827538 1204 4128
77 5359 8.58653266949485 1205 4125
78 5370 8.58858318750291 1215 4126
79 5355 8.585785982881848 1211 4115
80 5371 8.58876938990546 1194 4148
81 5367 8.588024372176829 1175 4163
82 5364 8.587465244401569 1178 4157
83 5368 8.588210678651517 1175 4164
84 5374 8.589327789175437 1180 4165
85 5388 8.591929537530255 1182 4177
86 5382 8.590815331286851 1178 4175
87 5392 8.592671652592143 1193 4170
88 5398 8.59378379357795 1191 4178
89 5397 8.593598522618644 1192 4176
90 5409 8.595819511871428 1189 4191
91 5391 8.592486175451668 1196 4166
92 5392 8.592671652592143 1191 4171
93 5376 8.589699882202986 1197 4149
94 5382 8.590815331286851 1199 4153
95 5378 8.59007183682881 1197 4150
96 5363 8.587278798982926 1186 4146
97 5342 8.583355393669907 1188 4122
98 5341 8.58316818033977 1192 4117
99 5354 8.585599224080298 1216 4106
100 5365 8.587651655064798 1222 4111
101 5359 8.58653266949485 1234 4093
102 5351 8.585038738311304 1243 4076
103 5366 8.58783803098557 1227 4106
104 5384 8.591186871324563 1221 4130
105 5394 8.593042503699674 1231 4129
106 5388 8.591929537530255 1228 4126
107 5382 8.590815331286851 1232 4116
108 5375 8.589513852995864 1233 4108
109 5382 8.590815331286851 1234 4114
110 5379 8.590257762273243 1244 4101
111 5373 8.589141690728821 1233 4106
112 5373 8.589141690728821 1242 4097
113 5382 8.590815331286851 1230 4118
114 5370 8.58858318750291 1240 4096
115 5367 8.588024372176829 1245 4088
116 5359 8.58653266949485 1227 4097
117 5363 8.587278798982926 1219 4108
118 5366 8.58783803098557 1215 4115
119 5366 8.58783803098557 1209 4121
120 5362 8.587092318795905 1208 4117
121 5373 8.589141690728821 1208 4127
122 5373 8.589141690728821 1208 4126
123 5372 8.588955557643128 1201 4132
124 5342 8.583355393669907 1195 4108
125 5338 8.58260632996447 1185 4114
126 5338 8.58260632996447 1187 4112
127 5340 8.582980931954241 1189 4112
128 5320 8.57922858233569 1194 4087
129 5326 8.580355766373877 1202 4085
130 5333 8.581669210600602 1188 4105
131 5340 8.582980931954241 1190 4110
132 5341 8.58316818033977 1188 4113
133 5361 8.586905803827538 1195 4126
134 5365 8.587651655064798 1196 4127
135 5361 8.586905803827538 1209 4110
136 5359 8.58653266949485 1206 4111
137 5370 8.58858318750291 1205 4122
138 5366 8.58783803098557 1198 4123
