#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 1.3862943611198906 4 0
1 9 2.1972245773362196 9 0
2 31 3.4339872044851463 31 0
3 82 4.406719247264253 82 0
4 210 5.3471075307174685 210 0
5 553 6.315358001522335 553 0
6 1327 7.190676034332207 1327 0
7 2903 7.97349996402463 2903 0
8 5225 8.561210076833012 5225 0
9 7355 8.903135633035538 7355 0
10 8738 9.075436609511382 8738 0
11 9422 9.150802659259986 9422 0
12 9706 9.18049952996516 9706 0
13 9829 9.19309247856663 9829 0
14 9876 9.19786285046507 9876 0
15 9892 9.199481628641307 9892 0
16 9894 9.199683791787654 9894 0
17 9897 9.199986959896691 9897 0
18 9907 9.20099685697303 9907 0
19 9897 9.199986959896691 9897 0
20 9911 9.201400530406708 9911 0
21 9906 9.200895913148184 9906 0
22 9884 9.1986725671085 9884 0
23 9903 9.200593020521303 9903 0
24 9899 9.200189020919808 9899 0
25 9898 9.200087995511831 9898 0
26 9904 9.200693994924377 9904 0
27 9897 9.199986959896691 9897 0
28 9923 9.202610573914242 9923 0
29 9913 9.201602306032898 9913 0
30 9926 9.202912856147385 9926 0
31 9913 9.201602306032898 9913 0
32 9902 9.200492035921368 9902 0
33 9893 9.199582715323222 9893 0
34 9913 9.201602306032898 9913 0
35 9912 9.201501423308978 9912 0
36 9907 9.20099685697303 9907 0
37 9911 9.201400530406708 9911 0
38 9893 9.199582715323222 9893 0
39 9904 9.200693994924377 9904 0
40 9901 9.200391041122515 9901 0
41 9911 9.201400530406708 9911 0
42 9888 9.199077179697472 9888 0
43 9886 9.198874893866904 9886 0
44 9886 9.198874893866904 9886 0
45 9893 9.199582715323222 9893 0
46 9895 9.199784858036667 9895 0
47 9890 9.199279424616758 9890 0
48 9880 9.198267790741914 9880 0
49 9891 9.199380531739841 9891 0
50 9899 9.200189020919808 9899 0
51 9904 9.200693994924377 9904 0
52 9910 9.201299627324033 9910 0
53 9880 9.198267790741914 9880 0
54 9888 9.199077179697472 9888 0
55 9891 9.199380531739841 9891 0
56 9900 9.20029003612268 9900 0
57 9908 9.20109779060925 9908 0
58 9893 9.199582715323222 9893 0
59 9902 9.200492035921368 9902 0
60 9893 9.199582715323222 9893 0
61 9910 9.201299627324033 9910 0
62 9884 9.1986725671085 9884 0
63 9902 9.200492035921368 9902 0
64 9898 9.200087995511831 9898 0
65 9886 9.198874893866904 9886 0
66 9881 9.198369000194964 9881 0
67 9892 9.199481628641307 9892 0
68 9901 9.200391041122515 9901 0
69 9906 9.200895913148184 9906 0
70 9892 9.199481628641307 9892 0
71 9899 9.200189020919808 9899 0
72 9880 9.198267790741914 9880 0
73 9881 9.198369000194964 9881 0
74 9891 9.199380531739841 9891 0
75 9893 9.199582715323222 9893 0
76 9913 9.201602306032898 9913 0
77 9902 9.200492035921368 9902 0
78 9906 9.200895913148184 9906 0
79 9891 9.199380531739841 9891 0
80 9889 9.19917830726999 9889 0
81 9897 9.199986959896691 9897 0
82 9894 9.199683791787654 9894 0
83 9896 9.199885914072324 9896 0
84 9892 9.199481628641307 9892 0
85 9877 9.197964100908127 9877 0
86 9877 9.197964100908127 9877 0
87 9890 9.199279424616758 9890 0
88 9879 9.198166571044474 9879 0
89 9898 9.200087995511831 9898 0
90 9910 9.201299627324033 9910 0
91 9893 9.199582715323222 9893 0
92 9905 9.20079495913265 9905 0
93 9910 9.201299627324033 9910 0
94 9894 9.199683791787654 9894 0
95 9883 9.198571388376184 9883 0
96 9888 9.199077179697472 9888 0
97 9908 9.20109779060925 9908 0
98 9909 9.201198714058899 9909 0
99 9899 9.200189020919808 9899 0
100 9908 9.20109779060925 9908 0
101 9903 9.200593020521303 9903 0
102 9887 9.198976041897133 9887 0
103 9909 9.201198714058899 9909 0
104 9896 9.199885914072324 9896 0
105 9879 9.198166571044474 9879 0
106 9876 9.19786285046507 9876 0
107 9872 9.197457746145169 9872 0
108 9900 9.20029003612268 9900 0
109 9891 9.199380531739841 9891 0
110 9906 9.200895913148184 9906 0
111 9899 9.200189020919808 9899 0
112 9895 9.199784858036667 9895 0
113 9898 9.200087995511831 9898 0
114 9894 9.199683791787654 9894 0
115 9890 9.199279424616758 9890 0
116 9893 9.199582715323222 9893 0
117 9885 9.198773735604718 9885 0
118 9896 9.199885914072324 9896 0
119 9896 9.199885914072324 9896 0
120 9895 9.199784858036667 9895 0
121 9895 9.199784858036667 9895 0
122 9903 9.200593020521303 9903 0
123 9905 9.20079495913265 9905 0
124 9906 9.200895913148184 9906 0
125 9903 9.200593020521303 9903 0
126 9900 9.20029003612268 9900 0
127 9887 9.198976041897133 9887 0
128 9894 9.199683791787654 9894 0
129 9875 9.197761589769323 9875 0
130 9887 9.198976041897133 9887 0
131 9886 9.198874893866904 9886 0
132 9899 9.200189020919808 9899 0
133 9888 9.199077179697472 9888 0
134 9894 9.199683791787654 9894 0
135 9887 9.198976041897133 9887 0
136 9894 9.199683791787654 9894 0
137 9896 9.199885914072324 9896 0
138 9902 9.200492035921368 9902 0
139 9909 9.201198714058899 9909 0
140 9901 9.200391041122515 9901 0
141 9896 9.199885914072324 9896 0
142 9886 9.198874893866904 9886 0
143 9906 9.200895913148184 9906 0
144 9894 9.199683791787654 9894 0
145 9894 9.199683791787654 9894 0
146 9883 9.198571388376184 9883 0
147 9899 9.200189020919808 9899 0
148 9903 9.200593020521303 9903 0
149 9897 9.199986959896691 9897 0
150 9886 9.198874893866904 9886 0
151 9902 9.200492035921368 9902 0
152 9898 9.200087995511831 9898 0
153 9905 9.20079495913265 9905 0
