#StageNum, CellCount, Sqrt/log, StemCount, DiffCount
0 4 1.3862943611198906 4 0
1 5 1.6094379124341003 3 2
2 10 2.302585092994046 2 8
3 13 2.5649493574615367 6 7
4 20 2.995732273553991 9 11
5 32 3.4657359027997265 16 16
6 45 3.8066624897703196 19 26
7 77 4.343805421853684 27 49
8 110 4.700480365792417 38 71
9 134 4.897839799950911 45 88
10 162 5.087596335232384 52 109
11 233 5.4510384535657 73 158
12 287 5.659482215759621 66 219
13 366 5.902633333401366 81 283
14 450 6.1092475827643655 97 351
15 540 6.29156913955832 119 418
16 652 6.480044561926653 153 495
17 775 6.652863029353347 166 605
18 930 6.835184586147301 186 740
19 1088 6.992096427415888 212 872
20 1271 7.147559271189454 258 1009
21 1490 7.306531398939505 289 1196
22 1755 7.470224135899966 352 1397
23 2039 7.620214770574455 432 1601
24 2374 7.772331575169614 493 1875
25 2747 7.918264686095274 624 2115
26 3152 8.05579245097777 726 2416
27 3634 8.198089248956116 818 2805
28 4145 8.329658067569396 917 3215
29 4607 8.435332164935916 978 3614
30 5052 8.527539483470381 1070 3967
31 5528 8.617581365447506 1231 4281
32 6039 8.705993714307901 1310 4711
33 6535 8.784927626058323 1456 5059
34 6950 8.846496938558838 1558 5371
35 7292 8.894533135798554 1599 5668
36 7604 8.93642970360832 1672 5905
37 7903 8.974997713204976 1733 6140
38 8163 9.007367027451355 1774 6358
39 8374 9.032886946579088 1827 6515
40 8555 9.054271186326293 1870 6651
41 8719 9.073259831427816 1880 6805
42 8872 9.090655529030203 1908 6930
43 8995 9.104424146384634 1934 7027
44 9108 9.11690842718363 1973 7100
45 9155 9.122055457108612 1985 7134
46 9196 9.126523885883072 1986 7174
47 9232 9.13043098874788 2000 7196
48 9297 9.137447046455858 1986 7274
49 9314 9.139273923542323 1986 7291
50 9335 9.141526055975824 1990 7307
51 9344 9.142489705068009 1972 7334
52 9372 9.145481799627687 1975 7359
53 9383 9.146654820290049 1984 7361
54 9393 9.147720009994515 1984 7370
55 9424 9.151014905891367 1975 7409
56 9434 9.152075463844207 1964 7429
57 9499 9.158941808890182 1985 7472
58 9517 9.160834952072344 1988 7486
59 9516 9.160729871422848 1987 7486
60 9509 9.159993997539445 1994 7472
61 9518 9.160940021681055 1976 7499
62 9488 9.157783121237507 1972 7471
63 9481 9.15704507491796 1968 7468
64 9484 9.157361447185297 1958 7480
65 9520 9.161150127785412 1981 7493
66 9533 9.162514742493578 1987 7500
67 9520 9.161150127785412 1971 7503
68 9517 9.160834952072344 1986 7485
69 9523 9.161465204194046 1982 7494
70 9504 9.159468041602427 1982 7474
71 9518 9.160940021681055 1996 7473
72 9527 9.161885151706779 1999 7478
73 9527 9.161885151706779 1999 7478
74 9517 9.160834952072344 1992 7475
75 9514 9.160519676992227 1995 7469
76 9507 9.15978364835903 2006 7451
77 9497 9.158731238242952 1994 7452
78 9475 9.156412029950626 1986 7438
79 9489 9.15788851197376 2002 7436
80 9506 9.159678457173955 1992 7462
81 9526 9.161780181360806 1994 7480
82 9518 9.160940021681055 2002 7463
83 9539 9.163143937145207 2014 7472
84 9521 9.161255164285691 2018 7449
85 9525 9.161675199994901 2017 7453
86 9498 9.158836529109067 2010 7433
87 9489 9.15788851197376 2020 7414
88 9504 9.159468041602427 2009 7439
89 9515 9.16062477973025 2021 7438
90 9528 9.161990111035136 2019 7453
91 9518 9.160940021681055 2019 7443
92 9513 9.160414563206457 2023 7434
93 9493 9.158309963881798 2018 7418
94 9513 9.160414563206457 2009 7447
95 9511 9.160204302482386 1995 7457
96 9498 9.158836529109067 1994 7444
97 9497 9.158731238242952 1999 7437
98 9519 9.161045080251306 1991 7466
99 9528 9.161990111035136 2009 7457
100 9541 9.163353580751846 2028 7450
101 9547 9.163982247998034 2031 7452
102 9551 9.164401140034737 2027 7459
103 9536 9.16282938930513 2007 7464
104 9521 9.161255164285691 1999 7456
105 9539 9.163143937145207 1990 7481
106 9526 9.161780181360806 1997 7461
107 9517 9.160834952072344 2001 7448
108 9516 9.160729871422848 1985 7463
109 9525 9.161675199994901 1983 7474
110 9511 9.160204302482386 1986 7457
111 9533 9.162514742493578 1970 7494
112 9529 9.162095059348188 1975 7485
113 9531 9.162304922937626 1977 7484
114 9513 9.160414563206457 1977 7466
115 9511 9.160204302482386 1977 7464
116 9511 9.160204302482386 1980 7461
117 9514 9.160519676992227 1994 7450
118 9510 9.160099155539436 1993 7447
119 9516 9.160729871422848 1994 7452
120 9508 9.159888828480085 1978 7460
121 9514 9.160519676992227 1982 7462
122 9540 9.163248764442333 2003 7467
123 9537 9.162934249578912 2003 7464
124 9535 9.16272451803452 1993 7472
125 9529 9.162095059348188 1984 7475
126 9551 9.164401140034737 1984 7496
127 9545 9.163772736159848 1991 7483
128 9559 9.165238398063762 2018 7470
129 9559 9.165238398063762 2016 7472
130 9571 9.166492972195906 2014 7485
131 9546 9.163877497565842 2003 7471
132 9553 9.164610520270008 1997 7484
133 9542 9.163458386076051 1975 7493
134 9539 9.163143937145207 1978 7486
135 9534 9.162619635764772 1977 7481
136 9544 9.163667963777751 1985 7483
137 9525 9.161675199994901 1988 7460
