#StageNum, CellCount, Sqrt/log, StemCount, DiffCount, MutantCount
0 5 1.6094379124341003 5 0 0
1 11 2.3978952727983707 7 4 0
2 21 3.044522437723423 15 6 0
3 39 3.6635616461296463 19 20 0
4 76 4.330733340286331 36 40 0
5 125 4.8283137373023015 55 70 0
6 179 5.187385805840755 78 101 0
7 255 5.541263545158426 113 142 0
8 377 5.932245187448011 148 229 0
9 533 6.278521424165844 214 319 0
10 734 6.598509028614515 284 450 0
11 1028 6.93537044601511 378 650 0
12 1388 7.23561914106675 529 859 0
13 1898 7.5485559791698735 723 1175 0
14 2561 7.848153086199526 1058 1503 0
15 3359 8.119398589612294 1360 1999 0
16 4188 8.339978571990427 1647 2541 0
17 5148 8.546363568716018 2061 3087 0
18 6107 8.717190933223135 2427 3680 0
19 6920 8.842171048611716 2765 4155 0
20 7650 8.942460926820582 3047 4603 0
21 8200 9.011889433252344 3230 4970 0
22 8658 9.066239028001926 3404 5254 0
23 9003 9.105313134108476 3540 5463 0
24 9208 9.127827950401718 3610 5598 0
25 9376 9.145908511816794 3698 5678 0
26 9504 9.159468041602427 3742 5762 0
27 9553 9.164610520270008 3728 5825 0
28 9591 9.16858043772795 3731 5860 0
29 9635 9.173157580848466 3765 5870 0
30 9642 9.173883834965567 3774 5868 0
31 9663 9.176059437999308 3776 5887 0
32 9673 9.177093778182547 3778 5895 0
33 9699 9.179778066393542 3770 5929 0
34 9708 9.180705566846491 3767 5941 0
35 9705 9.18039649560311 3769 5936 0
36 9695 9.179365567676752 3749 5946 0
37 9688 9.178643285232928 3720 5968 0
38 9689 9.178746500385005 3728 5961 0
39 9689 9.178746500385005 3736 5953 0
40 9695 9.179365567676752 3761 5934 0
41 9684 9.178230318057949 3754 5930 0
42 9706 9.18049952996516 3770 5936 0
43 9700 9.179881164491475 3760 5940 0
44 9693 9.179159254492609 3742 5951 0
45 9719 9.181838011503471 3758 5961 0
46 9706 9.18049952996516 3751 5955 0
47 9691 9.17895289873455 3748 5943 0
48 9694 9.17926241640532 3753 5941 0
49 9704 9.180293450623886 3769 5935 0
50 9722 9.1821466376054 3772 5950 0
51 9715 9.18142636181154 3755 5960 0
52 9715 9.18142636181154 3747 5968 0
53 9706 9.18049952996516 3740 5966 0
54 9693 9.179159254492609 3716 5977 0
55 9671 9.176886995716963 3694 5977 0
56 9702 9.180087328805161 3721 5981 0
57 9715 9.18142636181154 3722 5993 0
58 9702 9.180087328805161 3713 5989 0
59 9709 9.180808569370145 3713 5996 0
60 9706 9.18049952996516 3723 5983 0
61 9716 9.181529290122063 3710 6006 0
62 9714 9.18132342290569 3692 6022 0
63 9728 9.182763604205949 3703 6025 0
64 9716 9.181529290122063 3687 6029 0
65 9703 9.1801903950253 3689 6014 0
66 9714 9.18132342290569 3678 6036 0
67 9691 9.17895289873455 3694 5997 0
68 9695 9.179365567676752 3695 6000 0
69 9709 9.180808569370145 3691 6018 0
70 9703 9.1801903950253 3696 6007 0
71 9702 9.180087328805161 3696 6006 0
72 9708 9.180705566846491 3704 6004 0
73 9708 9.180705566846491 3711 5997 0
74 9727 9.18266080286944 3731 5996 0
75 9713 9.18122047340233 3729 5984 0
76 9703 9.1801903950253 3735 5968 0
77 9705 9.18039649560311 3732 5973 0
78 9723 9.182249491809657 3726 5997 0
79 9732 9.183174703903413 3714 6018 0
80 9723 9.182249491809657 3705 6018 0
81 9741 9.184099060770956 3707 6034 0
82 9726 9.182557990963732 3707 6019 0
83 9714 9.18132342290569 3694 6020 0
84 9726 9.182557990963732 3702 6024 0
85 9723 9.182249491809657 3714 6009 0
86 9711 9.181014542594355 3708 6003 0
